term,crn,instructor,course,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits
Fall 2011,85443,Hatle,BSC2012C,13,86,661.54,31.40,19.77,16.28,17.44,9.30,3.49,7.69,7.69,38.46,15.38,0,2.14,0925,75,TR,42,1020,4
Fall 2016,81050,Gelsleichter,BSC2012C,24,11,45.83,81.82,18.18,0.00,0.00,0.00,4.82,16.67,41.67,33.33,4.17,4.17,2.69,1630,75,MW,59,1701,4
Summer 2016,50146,Beall,BSC2012C,18,9,50.00,0.00,0.00,22.22,22.22,55.56,1.67,25,30,30,5,0,2.82,1430,100,MW,59,1701,4
Spring 2015,10865,Gibson,BSC2012C,22,12,54.55,58.33,25.00,16.67,0.00,0.00,4.42,20.83,37.5,25,8.33,0,2.69,1630,75,MW,59,1701,4
Fall 2013,81445,Gibson,BSC2012C,23,15,65.22,40.00,40.00,20.00,0.00,0.00,4.20,16.67,33.33,25,16.67,4.17,2.40,1630,75,MW,59,1701,4
Fall 2014,81298,Hall,BSC2012C,22,11,50.00,27.27,18.18,36.36,18.18,0.00,3.55,20.84,50.010002,12.5,4.17,4.17,2.78,1400,50,MWF,59,1701,4
Summer 2014,50599,Hall,BSC2012C,13,6,46.15,33.33,0.00,50.00,16.67,0.00,3.50,30.76,53.84,7.69,0,7.69,2.98,1430,100,MW,59,1701,4
Spring 2016,10716,Hatle,BSC2012C,22,10,45.45,40.00,20.00,10.00,20.00,10.00,3.60,12.5,16.67,33.33,20.83,8.33,2.02,1630,75,MW,59,1701,4
Fall 2014,81299,Hall,BSC2012C,14,5,35.71,0.00,20.00,40.00,40.00,0.00,2.80,28.58,57.14,14.28,0,0,3.06,1400,50,MWF,59,1701,4
Fall 2014,81914,Hall,BSC2012C,21,11,52.38,72.73,9.09,9.09,0.00,0.00,4.70,36.36,50,9.1,0,0,3.23,1400,50,MWF,59,1701,4
Fall 2013,81442,Gibson,BSC2012C,16,11,68.75,45.45,36.36,18.18,0.00,0.00,4.27,17.64,47.050003,17.64,5.88,5.88,2.63,1630,75,MW,59,1701,4
Summer 2013,50254,Colosimo,BSC2012C,22,26,118.18,61.54,23.08,11.54,0.00,0.00,4.52,27.28,31.82,31.82,0,4.55,2.87,1430,100,MW,59,1701,4
Fall 2016,81047,Gelsleichter,BSC2012C,21,13,61.90,46.15,30.77,15.38,0.00,0.00,4.33,13.04,26.09,43.48,0,8.7,2.45,1630,75,MW,59,1701,4
Fall 2015,81182,Gibson,BSC2012C,21,15,71.43,53.33,13.33,26.67,6.67,0.00,4.13,4.17,29.17,37.5,12.5,4.17,2.25,1630,75,MW,59,1701,4
Fall 2015,81660,Gibson,BSC2012C,21,13,61.90,46.15,23.08,7.69,23.08,0.00,3.92,16.67,33.33,29.17,8.33,0,2.77,1630,75,MW,59,1701,4
Fall 2012,82475,Hatle,BSC2012C,24,19,79.17,47.37,26.32,26.32,0.00,0.00,4.21,25,29.17,16.66,4.17,16.67,2.44,0800,75,TR,59,1701,4
Fall 2016,81046,Gelsleichter,BSC2012C,23,7,30.43,57.14,28.57,0.00,0.00,0.00,4.67,17.39,39.13,34.78,4.35,4.35,2.69,1630,75,MW,59,1701,4
Fall 2016,83349,Gelsleichter,BSC2012C,21,9,42.86,44.44,44.44,11.11,0.00,0.00,4.33,9.1,59.09,22.73,4.55,0,2.80,1630,75,MW,59,1701,4
Spring 2014,10864,Gibson,BSC2012C,16,11,68.75,72.73,18.18,9.09,0.00,0.00,4.64,0,37.5,25,25,12.5,1.80,1630,75,MW,59,1701,4
Spring 2017,10870,Gibson,BSC2012C,20,4,20.00,75.00,0.00,25.00,0.00,0.00,4.50,0,13.64,50,13.64,13.64,1.76,1630,75,MW,59,1701,4
Spring 2017,12563,Gibson,BSC2012C,20,7,35.00,57.14,0.00,28.57,14.29,0.00,4.00,8.7,39.13,17.4,17.39,4.35,2.43,1630,75,MW,59,1701,4
Summer 2015,50451,Hatle,BSC2012C,20,8,40.00,25.00,12.50,37.50,0.00,12.50,3.43,9.1,22.740002,50,0,9.09,2.31,1430,100,MW,59,1701,4
Spring 2014,11534,Gibson,BSC2012C,16,13,81.25,69.23,0.00,23.08,0.00,7.69,4.23,0,23.52,41.170002,29.41,0,1.94,1630,75,MW,59,1701,4
Spring 2012,12421,Moon,BSC2012C,10,24,240.00,70.83,20.83,4.17,4.17,0.00,4.58,40,30,30,0,0,3.13,0900,50,MWF,59,1701,4
Fall 2014,81300,Hall,BSC2012C,20,7,35.00,100.00,0.00,0.00,0.00,0.00,5.00,9.52,38.1,28.58,4.76,14.29,2.27,1400,50,MWF,59,1701,4
Summer 2014,50213,Hall,BSC2012C,21,13,61.90,53.85,38.46,7.69,0.00,0.00,4.46,50,25,4.17,0,8.33,3.25,1430,100,MW,59,1701,4
Summer 2013,50888,Colosimo,BSC2012C,20,17,85.00,64.71,17.65,0.00,0.00,0.00,4.79,45,40,10,5,0,3.22,1430,100,MW,59,1701,4
Spring 2015,10781,Gibson,BSC2012C,17,9,52.94,66.67,11.11,0.00,22.22,0.00,4.22,0,22.23,33.329998,22.22,11.11,1.84,1630,75,MW,59,1701,4
Spring 2014,10966,Gibson,BSC2012C,23,18,78.26,38.89,33.33,22.22,5.56,0.00,4.06,12.5,37.5,29.17,8.33,8.33,2.34,1630,75,MW,59,1701,4
Fall 2013,82522,Gibson,BSC2012C,24,12,50.00,58.33,16.67,16.67,8.33,0.00,4.25,8.34,16.67,66.67,8.33,0,2.31,1630,75,MW,59,1701,4
Summer 2017,50120,Beall,BSC2012C,5,1,20.00,0.00,100.00,0.00,0.00,0.00,4.00,25,12.5,25,0,0,2.94,1430,100,MW,59,1701,4
Fall 2013,81886,Gibson,BSC2012C,23,14,60.87,78.57,7.14,14.29,0.00,0.00,4.64,13.04,47.83,21.74,13.04,4.35,2.55,1630,75,MW,59,1701,4
Summer 2015,50175,Hatle,BSC2012C,14,2,14.29,0.00,100.00,0.00,0.00,0.00,4.00,0,33.34,40,13.33,6.67,2.11,1430,100,MW,59,1701,4
Spring 2015,11112,Gibson,BSC2012C,14,4,28.57,100.00,0.00,0.00,0.00,0.00,5.00,28.57,28.57,42.86,0,0,2.84,1630,75,MW,59,1701,4
Fall 2014,81297,Hall,BSC2012C,22,14,63.64,21.43,28.57,28.57,7.14,14.29,3.36,36.36,36.370003,18.19,4.55,4.55,2.93,1400,50,MWF,59,1701,4
Summer 2017,50119,Beall,BSC2012C,19,6,31.58,0.00,33.33,16.67,33.33,16.67,2.67,10,35,40,10,0,2.44,1430,100,MW,59,1701,4
Spring 2012,11255,Moon,BSC2012C,20,6,30.00,50.00,33.33,16.67,0.00,0.00,4.33,5,40,40,5,5,2.35,0900,50,MWF,59,1701,4
Fall 2015,81180,Gibson,BSC2012C,21,10,47.62,20.00,20.00,10.00,30.00,10.00,3.11,0,8.7,30.44,17.39,34.78,1.16,1630,75,MW,59,1701,4
Summer 2014,50212,Hall,BSC2012C,13,8,61.54,37.50,25.00,25.00,12.50,0.00,3.88,0,30.76,23.07,30.77,15.38,1.72,1430,100,MW,59,1701,4
Fall 2013,81444,Gibson,BSC2012C,15,12,80.00,25.00,41.67,16.67,0.00,16.67,3.58,6.25,25,56.25,6.25,0,2.39,1630,75,MW,59,1701,4
Spring 2012,11727,Moon,BSC2012C,19,37,194.74,56.76,13.51,10.81,0.00,5.41,4.34,10.52,15.79,31.58,26.32,0,2.14,0900,50,MWF,59,1701,4
Fall 2016,81048,Gelsleichter,BSC2012C,22,8,36.36,75.00,25.00,0.00,0.00,0.00,4.75,26.09,43.48,13.049999,4.35,8.7,2.83,1630,75,MW,59,1701,4
Spring 2015,11308,Gibson,BSC2012C,18,4,22.22,100.00,0.00,0.00,0.00,0.00,5.00,10,40,20,20,0,2.46,1630,75,MW,59,1701,4
Spring 2016,10717,Hatle,BSC2012C,19,10,52.63,30.00,20.00,40.00,10.00,0.00,3.70,4.35,34.78,30.43,8.7,4.35,2.35,1630,75,MW,59,1701,4
