course,term,crn,instructor,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits
COT3100,Summer 2017,50048,Balcar,46,17,36.96,82.35,11.76,0.00,5.88,0.00,4.71,17.39,39.129997,26.09,8.7,6.52,2.53,1620,100,TWR,39,1026,3
COT3100,Spring 2017,10092,Asaithambi,35,6,17.14,16.67,33.33,33.33,0.00,0.00,3.80,18.6,11.63,27.91,9.3,13.95,2.14,1050,75,TR,2,2010,3
COT3100,Spring 2017,13010,Asaithambi,33,13,39.39,30.77,46.15,15.38,0.00,0.00,4.17,17.95,12.82,25.64,20.51,7.69,2.15,1340,75,TR,51,1102,3
COT3100,Spring 2017,11863,Balcar,38,19,50.00,78.95,15.79,5.26,0.00,0.00,4.74,9.52,40.48,33.33,4.76,2.38,2.54,1630,75,TR,51,1104,3
COT3100,Fall 2016,80618,Balcar,59,24,40.68,50.00,25.00,25.00,0.00,0.00,4.25,15.87,38.089996,23.81,6.35,9.52,2.47,1630,75,TR,51,1209,3
COT3100,Fall 2016,80617,Asaithambi,45,21,46.67,52.38,23.81,9.52,9.52,4.76,4.10,8.2,21.31,36.07,1.64,6.56,2.31,1340,75,TR,3,1341,3
COT3100,Summer 2016,50060,Balcar,34,16,47.06,75.00,12.50,6.25,6.25,0.00,4.56,22.86,28.57,34.29,2.86,8.57,2.57,1620,100,TWR,15,1205,3
COT3100,Spring 2016,12567,Asaithambi,45,16,35.56,43.75,43.75,6.25,0.00,6.25,4.19,22.22,12.96,27.78,9.26,11.11,2.31,1050,75,TR,3,1341,3
COT3100,Spring 2016,10097,Balcar,50,24,48.00,54.17,33.33,12.50,0.00,0.00,4.42,21.82,29.099998,27.279999,0,12.73,2.54,1630,75,TR,2,2010,3
COT3100,Fall 2015,80674,Balcar,51,28,54.90,53.57,39.29,3.57,3.57,0.00,4.43,19.23,40.389996,25,5.77,7.69,2.59,1630,75,TR,15,1304,3
COT3100,Fall 2015,80673,Jethwani,41,20,48.78,0.00,5.00,20.00,35.00,25.00,2.06,26.19,40.48,23.81,4.76,2.38,2.85,1505,75,TR,42,1101,3
COT3100,Summer 2015,50545,Balcar,16,10,62.50,90.00,10.00,0.00,0.00,0.00,4.90,29.41,41.18,17.65,0,5.88,2.94,1620,100,MTWR,15,2203,3
COT3100,Summer 2015,50068,Balcar,20,7,35.00,71.43,28.57,0.00,0.00,0.00,4.71,23.81,33.33,38.1,0,0,2.85,1810,100,TWR,15,2203,3
COT3100,Spring 2015,11682,Balcar,39,17,43.59,58.82,29.41,11.76,0.00,0.00,4.47,20,31.109999,26.67,2.22,6.67,2.65,1800,75,TR,2,1018,3
COT3100,Spring 2015,10104,Balcar,44,22,50.00,68.18,27.27,4.55,0.00,0.00,4.64,21.74,34.78,28.26,2.17,8.7,2.61,1630,75,TR,2,1018,3
COT3100,Fall 2014,80720,Balcar,50,21,42.00,66.67,33.33,0.00,0.00,0.00,4.67,11.54,46.149998,30.77,5.77,1.92,2.62,1930,75,TR,42,1116,3
COT3100,Fall 2014,80719,Klostermeyer,44,19,43.18,63.16,21.05,5.26,10.53,0.00,4.37,25.490002,35.3,13.72,0,11.76,2.69,1800,75,TR,9,1421,3
COT3100,Summer 2014,50735,Balcar,13,9,69.23,66.67,33.33,0.00,0.00,0.00,4.67,30.77,23.08,46.149998,0,0,2.87,1620,100,MTWR,15,1206,3
COT3100,Summer 2014,50083,Balcar,23,12,52.17,83.33,8.33,0.00,8.33,0.00,4.67,29.17,45.839996,16.67,0,4.17,3.00,1810,100,TWR,15,1204,3
COT3100,Spring 2014,12907,Klostermeyer,33,18,54.55,61.11,22.22,11.11,5.56,0.00,4.39,12.200001,24.390001,31.71,2.44,9.76,2.34,1930,75,TR,15,1205,3
COT3100,Spring 2014,12203,Balcar,33,16,48.48,87.50,12.50,0.00,0.00,0.00,4.88,26.47,35.29,26.470001,5.88,2.94,2.77,1800,75,TR,15,1202,3
COT3100,Spring 2014,10110,Valev,30,21,70.00,47.62,9.52,19.05,4.76,4.76,4.06,63.33,20,6.67,6.67,3.33,3.33,1630,75,MW,15,1205,3
COT3100,Fall 2013,80762,Klostermeyer,40,27,67.50,59.26,18.52,3.70,3.70,14.81,4.04,28.27,28.26,21.74,2.17,6.52,2.78,1505,75,TR,15,1303,3
COT3100,Fall 2013,80761,Balcar,35,12,34.29,66.67,16.67,16.67,0.00,0.00,4.50,7.8900003,44.74,26.32,5.26,7.89,2.43,1800,75,TR,15,1304,3
COT3100,Summer 2013,51082,Balcar,19,17,89.47,70.59,11.76,5.88,0.00,0.00,4.73,31.58,31.579998,21.05,0,15.79,2.66,1620,100,MTWR,15,1205,3
COT3100,Summer 2013,50094,Balcar,17,12,70.59,66.67,8.33,16.67,0.00,0.00,4.55,23.529999,29.41,29.41,0,0,2.93,1810,100,TWR,15,1205,3
COT3100,Spring 2013,13023,Balcar,33,26,78.79,69.23,23.08,0.00,0.00,0.00,4.75,30.3,24.24,30.300001,0,3.03,2.93,1800,75,TR,15,1204,3
COT3100,Spring 2013,10114,Klostermeyer,34,25,73.53,52.00,32.00,4.00,0.00,0.00,4.55,23.53,32.35,32.35,0,5.88,2.72,1630,75,TR,15,1205,3
COT3100,Fall 2012,80849,Klostermeyer,43,28,65.12,53.57,28.57,7.14,3.57,0.00,4.42,16.28,30.23,27.900002,2.33,6.98,2.63,1340,75,TR,3,1381,3
COT3100,Fall 2012,80848,Balcar,41,28,68.29,64.29,28.57,0.00,0.00,0.00,4.69,24.39,36.59,21.95,2.44,7.32,2.71,1630,75,TR,15,1205,3
COT3100,Summer 2012,51165,Balcar,36,27,75.00,66.67,22.22,3.70,0.00,0.00,4.68,30.56,50,8.33,5.56,2.78,3.04,1620,100,MTWR,15,1205,3
COT3100,Spring 2012,10125,Klostermeyer,55,39,70.91,41.03,23.08,20.51,7.69,0.00,4.06,20,45.45,12.73,5.45,9.09,2.67,1505,75,TR,9,1421,3
COT3100,Fall 2011,83281,Gaudry,40,27,67.50,48.15,25.93,3.70,14.81,0.00,4.16,27.5,22.5,17.5,10,5,2.70,1200,50,MWF,15,1205,3
COT3100,Fall 2011,83280,Balcar,42,31,73.81,70.97,22.58,3.23,0.00,0.00,4.70,11.9,30.95,33.33,14.29,9.52,2.21,1800,75,MW,15,1205,3
